연도,대상사고 구분명,법정동코드,사고건수,사고건수 구성비,사망자수,사망자수 구성비,치사율,부상자수,부상자수 구성비
2010,자전거사고,1102,17,0.64,0,0,0,18,0.66
2010,야간사고,1102,712,0.64,2,0.07,0.28,1025,0.59
2010,어린이보행사고,1102,13,0.2,0,0,0,13,0.19
2010,스쿨존내어린이사고,1102,1,0.14,0,0,0,1,0.13
2010,고령운전사고,1102,89,0.71,1,0.18,1.12,114,0.61
2010,고령보행사고,1102,49,0.56,1,0.1,2.04,49,0.62
2010,뺑소니사고,1102,23,0.2,0,0,0,32,0.17
2010,무면허사고,1102,39,0.44,0,0,0,54,0.41
2010,전체,1103,1245,0.56,15,0.28,1.2,1738,0.5
2010,어린이사고,1103,36,0.26,0,0,0,44,0.26
2010,노인사고,1103,114,0.44,3,0.17,2.63,115,0.42
2010,보행자사고,1103,280,0.56,7,0.34,2.5,280,0.55
2010,자전거사고,1103,10,0.38,0,0,0,11,0.4
2010,야간사고,1103,632,0.57,10,0.33,1.58,905,0.52
2010,어린이보행사고,1103,25,0.38,0,0,0,26,0.39
2010,스쿨존내어린이사고,1103,1,0.14,0,0,0,1,0.13
2010,고령운전사고,1103,85,0.67,0,0,0,113,0.61
2010,고령보행사고,1103,57,0.65,2,0.21,3.51,55,0.69
2010,뺑소니사고,1103,65,0.55,1,0.37,1.54,101,0.54
2010,무면허사고,1103,23,0.26,1,0.26,4.35,31,0.23
2010,전체,1104,1097,0.49,15,0.28,1.37,1528,0.44
2010,어린이사고,1104,42,0.3,0,0,0,47,0.27
2010,노인사고,1104,98,0.38,3,0.17,3.06,97,0.35
2010,보행자사고,1104,234,0.46,5,0.24,2.14,235,0.46
2010,자전거사고,1104,46,1.73,1,1.37,2.17,45,1.65
2010,야간사고,1104,582,0.52,10,0.33,1.72,858,0.49
2010,어린이보행사고,1104,27,0.41,0,0,0,28,0.42
2010,스쿨존내어린이사고,1104,2,0.27,0,0,0,2,0.26
2010,고령운전사고,1104,60,0.48,2,0.37,3.33,87,0.47
2010,고령보행사고,1104,37,0.42,2,0.21,5.41,35,0.44
2010,뺑소니사고,1104,19,0.16,0,0,0,32,0.17
2010,무면허사고,1104,18,0.2,0,0,0,24,0.18
2010,전체,1105,1834,0.82,25,0.46,1.36,2484,0.71
2010,어린이사고,1105,73,0.52,0,0,0,82,0.48
2010,노인사고,1105,211,0.82,11,0.63,5.21,206,0.75
2010,보행자사고,1105,495,0.98,17,0.82,3.43,495,0.97
2010,자전거사고,1105,53,1.99,1,1.37,1.89,56,2.05
2010,야간사고,1105,908,0.82,13,0.43,1.43,1298,0.75
2010,어린이보행사고,1105,36,0.55,0,0,0,36,0.54
2010,스쿨존내어린이사고,1105,5,0.68,0,0,0,5,0.66
2010,고령운전사고,1105,135,1.07,2,0.37,1.48,188,1.01
2010,고령보행사고,1105,106,1.2,8,0.83,7.55,99,1.25
2010,뺑소니사고,1105,43,0.37,1,0.37,2.33,76,0.4
2010,무면허사고,1105,31,0.35,1,0.26,3.23,37,0.28
2010,전체,1106,1611,0.72,10,0.18,0.62,2197,0.63
2010,어린이사고,1106,102,0.72,0,0,0,109,0.63
2010,노인사고,1106,175,0.68,7,0.4,4,175,0.64
2010,보행자사고,1106,509,1.01,8,0.38,1.57,519,1.02
2010,자전거사고,1106,23,0.86,0,0,0,23,0.84
2010,야간사고,1106,845,0.76,4,0.13,0.47,1218,0.7
2010,어린이보행사고,1106,68,1.03,0,0,0,70,1.04
2010,스쿨존내어린이사고,1106,7,0.95,0,0,0,7,0.92
2010,고령운전사고,1106,92,0.73,1,0.18,1.09,116,0.62
2010,고령보행사고,1106,104,1.18,7,0.72,6.73,97,1.22
2010,뺑소니사고,1106,41,0.35,0,0,0,84,0.45
2010,무면허사고,1106,36,0.41,0,0,0,49,0.37
2010,전체,1107,975,0.44,11,0.2,1.13,1362,0.39
2010,어린이사고,1107,62,0.44,0,0,0,70,0.41
2010,노인사고,1107,119,0.46,5,0.29,4.2,122,0.45
2010,보행자사고,1107,296,0.59,5,0.24,1.69,305,0.6
2010,자전거사고,1107,33,1.24,1,1.37,3.03,33,1.21
2010,야간사고,1107,474,0.43,6,0.2,1.27,707,0.41
2010,어린이보행사고,1107,32,0.48,0,0,0,33,0.49
2010,스쿨존내어린이사고,1107,5,0.68,0,0,0,7,0.92
2010,고령운전사고,1107,74,0.59,2,0.37,2.7,99,0.53
2010,고령보행사고,1107,59,0.67,3,0.31,5.08,57,0.72
2010,뺑소니사고,1107,32,0.27,1,0.37,3.13,66,0.35
2010,무면허사고,1107,26,0.29,0,0,0,43,0.32
2010,전체,1108,1514,0.68,16,0.29,1.06,2120,0.61
2010,어린이사고,1108,105,0.74,0,0,0,116,0.68
2010,노인사고,1108,166,0.64,8,0.46,4.82,173,0.63
2010,보행자사고,1108,494,0.98,9,0.43,1.82,508,1
2010,자전거사고,1108,64,2.4,0,0,0,66,2.42
2010,야간사고,1108,749,0.67,10,0.33,1.34,1084,0.62
2010,어린이보행사고,1108,70,1.06,0,0,0,73,1.09
2010,스쿨존내어린이사고,1108,11,1.5,0,0,0,12,1.58
2010,고령운전사고,1108,109,0.86,2,0.37,1.83,142,0.76
2010,고령보행사고,1108,88,1,4,0.41,4.55,85,1.07
2010,뺑소니사고,1108,39,0.33,1,0.37,2.56,58,0.31
2010,무면허사고,1108,33,0.37,0,0,0,45,0.34
2010,전체,1109,1141,0.51,15,0.28,1.31,1719,0.49
2010,어린이사고,1109,70,0.5,1,0.79,1.43,78,0.45
2010,노인사고,1109,121,0.47,6,0.34,4.96,119,0.43
2010,보행자사고,1109,340,0.67,10,0.48,2.94,355,0.7
2010,자전거사고,1109,16,0.6,1,1.37,6.25,15,0.55
2010,야간사고,1109,580,0.52,8,0.27,1.38,892,0.51
2010,어린이보행사고,1109,35,0.53,0,0,0,38,0.57
2010,스쿨존내어린이사고,1109,5,0.68,0,0,0,5,0.66
2010,고령운전사고,1109,86,0.68,0,0,0,139,0.74
2010,고령보행사고,1109,62,0.7,6,0.62,9.68,56,0.71
2010,뺑소니사고,1109,37,0.32,1,0.37,2.7,53,0.28
2010,무면허사고,1109,25,0.28,4,1.03,16,38,0.29
2010,전체,1110,1726,0.77,22,0.41,1.27,2697,0.78
2010,어린이사고,1110,67,0.48,1,0.79,1.49,75,0.44
2010,노인사고,1110,138,0.53,4,0.23,2.9,142,0.52
2010,보행자사고,1110,415,0.82,11,0.53,2.65,432,0.85
2010,자전거사고,1110,36,1.35,0,0,0,37,1.35
2010,야간사고,1110,964,0.87,12,0.4,1.24,1569,0.9
2010,어린이보행사고,1110,33,0.5,1,1.27,3.03,35,0.52
2010,스쿨존내어린이사고,1110,4,0.55,0,0,0,5,0.66
2010,고령운전사고,1110,79,0.63,0,0,0,132,0.71
2010,고령보행사고,1110,60,0.68,3,0.31,5,57,0.72
2010,뺑소니사고,1110,80,0.68,3,1.11,3.75,145,0.77
2010,무면허사고,1110,43,0.48,1,0.26,2.33,70,0.53
2010,전체,1111,1872,0.84,21,0.39,1.12,2594,0.75
2010,어린이사고,1111,102,0.72,2,1.59,1.96,109,0.63
2010,노인사고,1111,173,0.67,5,0.29,2.89,179,0.65
2010,보행자사고,1111,558,1.11,12,0.58,2.15,573,1.13
2010,자전거사고,1111,69,2.59,1,1.37,1.45,69,2.53
2010,야간사고,1111,969,0.87,12,0.4,1.24,1385,0.8
2010,어린이보행사고,1111,61,0.92,2,2.53,3.28,59,0.88
2010,스쿨존내어린이사고,1111,6,0.82,1,11.11,16.67,5,0.66
2010,고령운전사고,1111,94,0.74,4,0.73,4.26,118,0.63
2010,고령보행사고,1111,85,0.97,4,0.41,4.71,81,1.02
2010,뺑소니사고,1111,51,0.43,2,0.74,3.92,81,0.43
2010,무면허사고,1111,41,0.46,1,0.26,2.44,52,0.39
2010,전체,1112,1568,0.7,14,0.26,0.89,2270,0.65
2010,어린이사고,1112,73,0.52,0,0,0,80,0.47
2010,노인사고,1112,127,0.49,2,0.11,1.57,127,0.46
2010,보행자사고,1112,413,0.82,5,0.24,1.21,424,0.83
2010,자전거사고,1112,49,1.84,1,1.37,2.04,51,1.87
2010,야간사고,1112,867,0.78,8,0.27,0.92,1345,0.77
2010,어린이보행사고,1112,36,0.55,0,0,0,36,0.54
2010,스쿨존내어린이사고,1112,4,0.55,0,0,0,4,0.53
2010,고령운전사고,1112,74,0.59,1,0.18,1.35,100,0.54
2010,고령보행사고,1112,62,0.7,1,0.1,1.61,61,0.77
2010,뺑소니사고,1112,50,0.43,0,0,0,82,0.44
2010,무면허사고,1112,56,0.63,1,0.26,1.79,73,0.55
2010,전체,1113,2253,1.01,30,0.55,1.33,3348,0.96
2010,어린이사고,1113,91,0.65,3,2.38,3.3,109,0.63
2010,노인사고,1113,179,0.69,9,0.51,5.03,179,0.65
2010,보행자사고,1113,521,1.03,17,0.82,3.26,532,1.05
2010,자전거사고,1113,106,3.98,3,4.11,2.83,111,4.06
2010,야간사고,1113,1236,1.11,20,0.67,1.62,1931,1.11
2010,어린이보행사고,1113,48,0.73,1,1.27,2.08,52,0.78
2010,스쿨존내어린이사고,1113,4,0.55,0,0,0,4,0.53
2010,고령운전사고,1113,147,1.16,4,0.73,2.72,213,1.14
2010,고령보행사고,1113,80,0.91,6,0.62,7.5,76,0.96
2010,뺑소니사고,1113,64,0.55,0,0,0,115,0.61
2010,무면허사고,1113,55,0.62,1,0.26,1.82,85,0.64
2010,전체,1114,1131,0.51,13,0.24,1.15,1594,0.46
2010,어린이사고,1114,59,0.42,0,0,0,64,0.37
2010,노인사고,1114,99,0.38,5,0.29,5.05,99,0.36
2010,보행자사고,1114,306,0.61,6,0.29,1.96,311,0.61
2010,자전거사고,1114,20,0.75,0,0,0,21,0.77
2010,야간사고,1114,602,0.54,8,0.27,1.33,883,0.51
2010,어린이보행사고,1114,41,0.62,0,0,0,42,0.63
2010,스쿨존내어린이사고,1114,5,0.68,0,0,0,6,0.79
2010,고령운전사고,1114,70,0.55,0,0,0,103,0.55
2010,고령보행사고,1114,59,0.67,5,0.52,8.47,54,0.68
2010,뺑소니사고,1114,44,0.38,0,0,0,68,0.36
2010,무면허사고,1114,24,0.27,0,0,0,35,0.26
2010,전체,1115,1851,0.83,16,0.29,0.86,2632,0.76
2010,어린이사고,1115,89,0.63,1,0.79,1.12,103,0.6
2010,노인사고,1115,158,0.61,7,0.4,4.43,159,0.58
2010,보행자사고,1115,561,1.11,11,0.53,1.96,577,1.13
2010,자전거사고,1115,27,1.01,0,0,0,30,1.1
2010,야간사고,1115,1023,0.92,7,0.23,0.68,1506,0.87
2010,어린이보행사고,1115,54,0.82,1,1.27,1.85,53,0.79
2010,스쿨존내어린이사고,1115,5,0.68,0,0,0,5,0.66
2010,고령운전사고,1115,88,0.7,0,0,0,128,0.69
2010,고령보행사고,1115,84,0.95,7,0.72,8.33,77,0.97
2010,뺑소니사고,1115,68,0.58,0,0,0,114,0.61
2010,무면허사고,1115,48,0.54,0,0,0,61,0.46
2010,전체,1116,3551,1.59,31,0.57,0.87,5176,1.49
2010,어린이사고,1116,79,0.56,0,0,0,91,0.53
2010,노인사고,1116,157,0.61,3,0.17,1.91,157,0.57
2010,보행자사고,1116,753,1.49,12,0.58,1.59,780,1.53
2010,자전거사고,1116,25,0.94,0,0,0,29,1.06
2010,야간사고,1116,1994,1.79,18,0.6,0.9,3073,1.77
2010,어린이보행사고,1116,41,0.62,0,0,0,41,0.61
2010,스쿨존내어린이사고,1116,3,0.41,0,0,0,3,0.39
2010,고령운전사고,1116,166,1.32,0,0,0,241,1.29
2010,고령보행사고,1116,53,0.6,3,0.31,5.66,50,0.63
2010,뺑소니사고,1116,168,1.43,3,1.11,1.79,276,1.46
2010,무면허사고,1116,85,0.96,1,0.26,1.18,112,0.84
2010,전체,1117,1410,0.63,14,0.26,0.99,1945,0.56
2010,어린이사고,1117,81,0.57,2,1.59,2.47,88,0.51
2010,노인사고,1117,118,0.46,2,0.11,1.69,120,0.44
2010,보행자사고,1117,418,0.83,8,0.38,1.91,434,0.85
2010,자전거사고,1117,37,1.39,1,1.37,2.7,37,1.35
2010,야간사고,1117,734,0.66,7,0.23,0.95,1045,0.6
2010,어린이보행사고,1117,51,0.77,2,2.53,3.92,50,0.75
2010,스쿨존내어린이사고,1117,4,0.55,0,0,0,4,0.53
2010,고령운전사고,1117,60,0.48,2,0.37,3.33,76,0.41
2010,고령보행사고,1117,57,0.65,1,0.1,1.75,56,0.71
2010,뺑소니사고,1117,31,0.26,0,0,0,60,0.32
2010,무면허사고,1117,33,0.37,0,0,0,53,0.4
2010,전체,1118,2573,1.15,16,0.29,0.62,3742,1.08
2010,어린이사고,1118,151,1.07,0,0,0,163,0.95
2010,노인사고,1118,172,0.67,5,0.29,2.91,179,0.65
2010,보행자사고,1118,615,1.22,5,0.24,0.81,638,1.25
2010,자전거사고,1118,57,2.14,1,1.37,1.75,62,2.27
2010,야간사고,1118,1343,1.21,5,0.17,0.37,2039,1.17
2010,어린이보행사고,1118,85,1.29,0,0,0,85,1.27
2010,스쿨존내어린이사고,1118,3,0.41,0,0,0,3,0.39
2010,고령운전사고,1118,136,1.08,1,0.18,0.74,192,1.03
2010,고령보행사고,1118,59,0.67,2,0.21,3.39,57,0.72
2010,뺑소니사고,1118,82,0.7,0,0,0,137,0.73
2010,무면허사고,1118,62,0.7,0,0,0,88,0.66
2010,전체,1119,2152,0.96,20,0.37,0.93,3372,0.97
2010,어린이사고,1119,68,0.48,1,0.79,1.47,76,0.44
2010,노인사고,1119,148,0.57,5,0.29,3.38,153,0.56
2010,보행자사고,1119,458,0.91,15,0.72,3.28,469,0.92
2010,자전거사고,1119,21,0.79,0,0,0,25,0.92
2010,야간사고,1119,1133,1.02,9,0.3,0.79,1854,1.07
2010,어린이보행사고,1119,33,0.5,1,1.27,3.03,32,0.48
2010,스쿨존내어린이사고,1119,3,0.41,0,0,0,3,0.39
2010,고령운전사고,1119,90,0.71,1,0.18,1.11,138,0.74
2010,고령보행사고,1119,44,0.5,5,0.52,11.36,40,0.5
2010,뺑소니사고,1119,102,0.87,1,0.37,0.98,171,0.91
2010,무면허사고,1119,59,0.66,1,0.26,1.69,101,0.76
2010,전체,1120,1463,0.65,12,0.22,0.82,2070,0.6
2010,어린이사고,1120,102,0.72,0,0,0,111,0.65
2010,노인사고,1120,112,0.43,3,0.17,2.68,113,0.41
2010,보행자사고,1120,357,0.71,6,0.29,1.68,361,0.71
2010,자전거사고,1120,51,1.92,0,0,0,53,1.94
2010,야간사고,1120,747,0.67,8,0.27,1.07,1140,0.66
2010,어린이보행사고,1120,53,0.8,0,0,0,54,0.81
2010,스쿨존내어린이사고,1120,8,1.09,0,0,0,8,1.05
2010,고령운전사고,1120,63,0.5,1,0.18,1.59,82,0.44
2010,고령보행사고,1120,54,0.61,2,0.21,3.7,52,0.66
2010,뺑소니사고,1120,36,0.31,1,0.37,2.78,62,0.33
2010,무면허사고,1120,29,0.33,1,0.26,3.45,41,0.31
2010,전체,1121,2080,0.93,17,0.31,0.82,2841,0.82
2010,어린이사고,1121,112,0.79,0,0,0,127,0.74
2010,노인사고,1121,193,0.75,5,0.29,2.59,202,0.74
2010,보행자사고,1121,574,1.14,8,0.38,1.39,586,1.15
2010,자전거사고,1121,115,4.32,1,1.37,0.87,116,4.25
2010,야간사고,1121,1078,0.97,12,0.4,1.11,1512,0.87
2010,어린이보행사고,1121,62,0.94,0,0,0,63,0.94
2010,스쿨존내어린이사고,1121,5,0.68,0,0,0,5,0.66
2010,고령운전사고,1121,121,0.96,2,0.37,1.65,143,0.77
2010,고령보행사고,1121,86,0.98,3,0.31,3.49,84,1.06
2010,뺑소니사고,1121,70,0.6,2,0.74,2.86,113,0.6
2010,무면허사고,1121,56,0.63,0,0,0,80,0.6
2010,전체,1122,1683,0.75,25,0.46,1.49,2434,0.7
2010,어린이사고,1122,108,0.77,0,0,0,120,0.7
2010,노인사고,1122,155,0.6,8,0.46,5.16,154,0.56
2010,보행자사고,1122,453,0.9,11,0.53,2.43,468,0.92
2010,자전거사고,1122,28,1.05,0,0,0,28,1.03
2010,야간사고,1122,865,0.78,13,0.43,1.5,1280,0.74
2010,어린이보행사고,1122,55,0.83,0,0,0,55,0.82
2010,스쿨존내어린이사고,1122,7,0.95,0,0,0,7,0.92
2010,고령운전사고,1122,84,0.67,4,0.73,4.76,108,0.58
2010,고령보행사고,1122,73,0.83,7,0.72,9.59,67,0.85
2010,뺑소니사고,1122,65,0.55,2,0.74,3.08,99,0.53
2010,무면허사고,1122,36,0.41,0,0,0,49,0.37
2010,전체,1123,1540,0.69,17,0.31,1.1,2212,0.64
2010,어린이사고,1123,79,0.56,2,1.59,2.53,91,0.53
2010,노인사고,1123,117,0.45,4,0.23,3.42,119,0.43
2010,보행자사고,1123,369,0.73,8,0.38,2.17,377,0.74
2010,자전거사고,1123,33,1.24,0,0,0,35,1.28
2010,야간사고,1123,808,0.73,8,0.27,0.99,1201,0.69
2010,어린이보행사고,1123,46,0.7,2,2.53,4.35,46,0.69
2010,스쿨존내어린이사고,1123,3,0.41,1,11.11,33.33,3,0.39
2010,고령운전사고,1123,83,0.66,0,0,0,123,0.66
2010,고령보행사고,1123,49,0.56,3,0.31,6.12,46,0.58
2010,뺑소니사고,1123,49,0.42,0,0,0,87,0.46
2010,무면허사고,1123,39,0.44,0,0,0,56,0.42
2010,전체,1124,1293,0.58,16,0.29,1.24,1780,0.51
2010,어린이사고,1124,65,0.46,1,0.79,1.54,69,0.4
2010,노인사고,1124,128,0.5,5,0.29,3.91,130,0.47
2010,보행자사고,1124,454,0.9,11,0.53,2.42,474,0.93
2010,자전거사고,1124,16,0.6,0,0,0,17,0.62
2010,야간사고,1124,691,0.62,9,0.3,1.3,994,0.57
2010,어린이보행사고,1124,40,0.61,1,1.27,2.5,40,0.6
2010,스쿨존내어린이사고,1124,5,0.68,1,11.11,20,4,0.53
2010,고령운전사고,1124,96,0.76,1,0.18,1.04,156,0.84
2010,고령보행사고,1124,80,0.91,3,0.31,3.75,78,0.98
2010,뺑소니사고,1124,33,0.28,1,0.37,3.03,48,0.25
2010,무면허사고,1124,43,0.48,0,0,0,64,0.48
2010,전체,1125,1123,0.5,12,0.22,1.07,1702,0.49
2010,어린이사고,1125,58,0.41,0,0,0,67,0.39
2010,노인사고,1125,87,0.34,1,0.06,1.15,93,0.34
2010,보행자사고,1125,333,0.66,6,0.29,1.8,345,0.68
2010,자전거사고,1125,32,1.2,0,0,0,34,1.24
2010,야간사고,1125,621,0.56,10,0.33,1.61,1011,0.58
2010,어린이보행사고,1125,37,0.56,0,0,0,39,0.58
2010,스쿨존내어린이사고,1125,3,0.41,0,0,0,3,0.39
2010,고령운전사고,1125,46,0.36,0,0,0,68,0.36
2010,고령보행사고,1125,43,0.49,1,0.1,2.33,43,0.54
2010,뺑소니사고,1125,45,0.38,0,0,0,69,0.37
2010,무면허사고,1125,35,0.39,0,0,0,58,0.44
2010,전체,1200,13847,6.1,244,4.43,1.76,19885,5.64
2010,어린이사고,1200,705,5,4,3.17,0.57,809,4.71
2010,노인사고,1200,1397,5.41,63,3.6,4.51,1448,5.29
2010,보행자사고,1200,4003,7.94,116,5.57,2.9,4062,7.98
2010,자전거사고,1200,127,4.77,8,10.96,6.3,122,4.47
2010,야간사고,1200,6736,6.06,122,4.07,1.81,10010,5.76
2010,어린이보행사고,1200,404,6.12,3,3.8,0.74,408,6.09
2010,스쿨존내어린이사고,1200,71,9.69,1,11.11,1.41,73,9.61
2010,고령운전사고,1200,722,5.72,15,2.74,2.08,1014,5.43
2010,고령보행사고,1200,672,7.64,47,4.87,6.99,634,8
2010,뺑소니사고,1200,623,5.31,13,4.8,2.09,978,5.19
2010,무면허사고,1200,496,5.59,20,5.17,4.03,737,5.55
2010,전체,1201,445,0.2,5,0.09,1.12,633,0.18
2010,어린이사고,1201,16,0.11,0,0,0,17,0.1
2010,노인사고,1201,55,0.21,1,0.06,1.82,57,0.21
2010,보행자사고,1201,151,0.3,3,0.14,1.99,153,0.3
2010,자전거사고,1201,2,0.08,0,0,0,2,0.07
2010,야간사고,1201,203,0.18,3,0.1,1.48,307,0.18
2010,어린이보행사고,1201,12,0.18,0,0,0,13,0.19
2010,스쿨존내어린이사고,1201,1,0.14,0,0,0,1,0.13
2010,고령운전사고,1201,31,0.25,1,0.18,3.23,47,0.25
2010,고령보행사고,1201,25,0.28,1,0.1,4,25,0.32
2010,뺑소니사고,1201,10,0.09,1,0.37,10,20,0.11
2010,무면허사고,1201,13,0.15,0,0,0,19,0.14
2010,전체,1202,512,0.23,7,0.13,1.37,714,0.21
2010,어린이사고,1202,31,0.22,0,0,0,33,0.19
2010,노인사고,1202,77,0.3,5,0.29,6.49,76,0.28
2010,보행자사고,1202,162,0.32,5,0.24,3.09,165,0.32
2010,자전거사고,1202,4,0.15,0,0,0,4,0.15
2010,야간사고,1202,205,0.18,5,0.17,2.44,295,0.17
2010,어린이보행사고,1202,21,0.32,0,0,0,22,0.33
2010,스쿨존내어린이사고,1202,3,0.41,0,0,0,3,0.39
2010,고령운전사고,1202,24,0.19,0,0,0,29,0.16
2010,고령보행사고,1202,42,0.48,4,0.41,9.52,39,0.49
2010,뺑소니사고,1202,18,0.15,1,0.37,5.56,24,0.13
2010,무면허사고,1202,18,0.2,1,0.26,5.56,30,0.23
2010,전체,1203,621,0.28,7,0.13,1.13,856,0.25
2010,어린이사고,1203,23,0.16,0,0,0,26,0.15
2010,노인사고,1203,67,0.26,1,0.06,1.49,67,0.24
2010,보행자사고,1203,171,0.34,3,0.14,1.75,170,0.33
2010,자전거사고,1203,2,0.08,0,0,0,2,0.07
2010,야간사고,1203,289,0.26,3,0.1,1.04,427,0.25
2010,어린이보행사고,1203,11,0.17,0,0,0,11,0.16
2010,스쿨존내어린이사고,1203,2,0.27,0,0,0,2,0.26
2010,고령운전사고,1203,42,0.33,0,0,0,66,0.35
2010,고령보행사고,1203,31,0.35,1,0.1,3.23,30,0.38
2010,뺑소니사고,1203,24,0.2,0,0,0,42,0.22
2010,무면허사고,1203,21,0.24,0,0,0,27,0.2
2010,전체,1204,354,0.16,7,0.13,1.98,449,0.13
2010,어린이사고,1204,22,0.16,1,0.79,4.55,23,0.13
2010,노인사고,1204,47,0.18,3,0.17,6.38,44,0.16
2010,보행자사고,1204,149,0.3,4,0.19,2.68,147,0.29
2010,야간사고,1204,156,0.14,2,0.07,1.28,218,0.13
2010,어린이보행사고,1204,19,0.29,1,1.27,5.26,18,0.27
2010,스쿨존내어린이사고,1204,2,0.27,0,0,0,2,0.26
2010,고령운전사고,1204,14,0.11,0,0,0,16,0.09
2010,고령보행사고,1204,33,0.38,2,0.21,6.06,31,0.39
2010,뺑소니사고,1204,15,0.13,1,0.37,6.67,32,0.17
2010,무면허사고,1204,8,0.09,0,0,0,27,0.2
2010,전체,1205,1781,0.8,37,0.68,2.08,2495,0.72
2010,어린이사고,1205,76,0.54,1,0.79,1.32,91,0.53
2010,노인사고,1205,190,0.74,8,0.46,4.21,189,0.69
2010,보행자사고,1205,510,1.01,18,0.86,3.53,533,1.05
2010,자전거사고,1205,5,0.19,1,1.37,20,4,0.15
2010,야간사고,1205,912,0.82,20,0.67,2.19,1330,0.77
2010,어린이보행사고,1205,45,0.68,1,1.27,2.22,45,0.67
2010,스쿨존내어린이사고,1205,9,1.23,1,11.11,11.11,9,1.18
2010,고령운전사고,1205,95,0.75,3,0.55,3.16,147,0.79
2010,고령보행사고,1205,82,0.93,5,0.52,6.1,79,1
2010,뺑소니사고,1205,58,0.49,3,1.11,5.17,100,0.53
2010,무면허사고,1205,47,0.53,1,0.26,2.13,76,0.57
2010,전체,1206,1029,0.46,13,0.24,1.26,1465,0.42
2010,어린이사고,1206,62,0.44,0,0,0,74,0.43
2010,노인사고,1206,116,0.45,6,0.34,5.17,114,0.42
2010,보행자사고,1206,388,0.77,12,0.58,3.09,394,0.77
2010,자전거사고,1206,13,0.49,0,0,0,13,0.48
2010,야간사고,1206,520,0.47,5,0.17,0.96,795,0.46
2010,어린이보행사고,1206,32,0.48,0,0,0,34,0.51
2010,스쿨존내어린이사고,1206,9,1.23,0,0,0,10,1.32
2010,고령운전사고,1206,52,0.41,0,0,0,72,0.39
2010,고령보행사고,1206,67,0.76,6,0.62,8.96,61,0.77
2010,뺑소니사고,1206,58,0.49,0,0,0,91,0.48
2010,무면허사고,1206,37,0.42,1,0.26,2.7,52,0.39
2010,전체,1207,985,0.44,17,0.31,1.73,1269,0.37
2010,어린이사고,1207,49,0.35,0,0,0,54,0.31
2010,노인사고,1207,115,0.45,7,0.4,6.09,111,0.41
2010,보행자사고,1207,327,0.65,7,0.34,2.14,329,0.65
2010,자전거사고,1207,22,0.83,2,2.74,9.09,21,0.77
2010,야간사고,1207,472,0.42,8,0.27,1.69,623,0.36
2010,어린이보행사고,1207,35,0.53,0,0,0,35,0.52
2010,스쿨존내어린이사고,1207,9,1.23,0,0,0,9,1.18
2010,고령운전사고,1207,57,0.45,2,0.37,3.51,72,0.39
2010,고령보행사고,1207,54,0.61,4,0.41,7.41,50,0.63
2010,뺑소니사고,1207,26,0.22,0,0,0,37,0.2
2010,무면허사고,1207,20,0.23,0,0,0,27,0.2
2010,전체,1208,798,0.36,21,0.39,2.63,1111,0.32
2010,어린이사고,1208,43,0.31,0,0,0,47,0.27
2010,노인사고,1208,55,0.21,4,0.23,7.27,55,0.2
2010,보행자사고,1208,259,0.51,8,0.38,3.09,264,0.52
2010,자전거사고,1208,4,0.15,1,1.37,25,3,0.11
2010,야간사고,1208,435,0.39,13,0.43,2.99,627,0.36
2010,어린이보행사고,1208,32,0.48,0,0,0,33,0.49
